Date and Time (UTC),Receiver,Transmitter,Station Name,Lat_dd,Lon_dd,Notes
9/9/18 7:11,VR2W-133753,A69-1602-29792,SB-1,33.48818333,-119.0248833,
9/9/18 7:11,VR2W-133753,A69-1602-29792,SB-1,33.48818333,-119.0248833,
9/9/18 7:11,VR2W-133753,A69-1602-29792,SB-1,33.48818333,-119.0248833,
9/8/18 1:58,VR2W-133753,A69-1602-9712,SB-1,33.48818333,-119.0248833,
9/8/18 1:53,VR2W-133753,A69-1602-9712,SB-1,33.48818333,-119.0248833,
9/8/18 1:29,VR2W-133753,A69-1602-9712,SB-1,33.48818333,-119.0248833,
9/8/18 1:24,VR2W-133753,A69-1602-9712,SB-1,33.48818333,-119.0248833,
9/8/18 1:04,VR2W-133753,A69-1602-9712,SB-1,33.48818333,-119.0248833,
9/8/18 0:54,VR2W-133753,A69-1602-9712,SB-1,33.48818333,-119.0248833,
9/8/18 0:48,VR2W-133753,A69-1602-9712,SB-1,33.48818333,-119.0248833,
9/7/18 19:41,VR2W-133753,A69-1602-9714,SB-1,33.48818333,-119.0248833,
9/7/18 6:38,VR2W-133753,A69-1602-9712,SB-1,33.48818333,-119.0248833,
9/6/18 13:10,VR2W-133753,A69-1602-9712,SB-1,33.48818333,-119.0248833,
9/6/18 13:09,VR2W-133753,A69-1602-9712,SB-1,33.48818333,-119.0248833,
9/6/18 13:07,VR2W-133753,A69-1602-9712,SB-1,33.48818333,-119.0248833,
9/6/18 13:02,VR2W-133753,A69-1602-9712,SB-1,33.48818333,-119.0248833,
9/6/18 12:50,VR2W-133753,A69-1602-9712,SB-1,33.48818333,-119.0248833,
9/6/18 12:46,VR2W-133753,A69-1602-9712,SB-1,33.48818333,-119.0248833,
9/6/18 12:44,VR2W-133753,A69-1602-9712,SB-1,33.48818333,-119.0248833,
9/6/18 12:42,VR2W-133753,A69-1602-9712,SB-1,33.48818333,-119.0248833,
9/6/18 12:30,VR2W-133753,A69-1602-9712,SB-1,33.48818333,-119.0248833,
9/3/18 0:43,VR2W-133753,A69-1602-9712,SB-1,33.48818333,-119.0248833,
9/2/18 17:52,VR2W-133753,A69-1602-9716,SB-1,33.48818333,-119.0248833,
9/2/18 17:51,VR2W-133753,A69-1602-9716,SB-1,33.48818333,-119.0248833,
8/30/18 2:48,VR2W-133753,A69-1602-9718,SB-1,33.48818333,-119.0248833,
8/29/18 19:13,VR2W-133753,A69-1602-9718,SB-1,33.48818333,-119.0248833,
8/29/18 19:11,VR2W-133753,A69-1602-9718,SB-1,33.48818333,-119.0248833,
8/28/18 12:43,VR2W-133753,A69-1602-9716,SB-1,33.48818333,-119.0248833,
8/26/18 15:15,VR2W-133753,A69-1602-9718,SB-1,33.48818333,-119.0248833,
8/17/18 17:46,VR2W-133753,A69-1602-9712,SB-1,33.48818333,-119.0248833,
8/17/18 17:43,VR2W-133753,A69-1602-9712,SB-1,33.48818333,-119.0248833,
8/17/18 17:40,VR2W-133753,A69-1602-9712,SB-1,33.48818333,-119.0248833,
8/17/18 17:38,VR2W-133753,A69-1602-9712,SB-1,33.48818333,-119.0248833,
8/17/18 17:23,VR2W-133753,A69-1602-9712,SB-1,33.48818333,-119.0248833,
8/17/18 17:22,VR2W-133753,A69-1602-9712,SB-1,33.48818333,-119.0248833,
8/17/18 17:20,VR2W-133753,A69-1602-9712,SB-1,33.48818333,-119.0248833,
